Sex,Year Level,Course,Income,Usage,usagelevel
Male,First Year,BSTM,Php 20 000 and Below,4.777777777777778,Very High
Female,First Year,BSTM,Above Php 60 000,3.5555555555555554,High
Male,Second Year,BSTM,Php 20 001 to Php 60 000,3.3333333333333335,High
Male,Second Year,BSTM,Php 20 001 to Php 60 000,3.0,Moderate
Female,Second Year,BSTM,Php 20 001 to Php 60 000,2.4444444444444446,Low
Female,Second Year,BSTM,Php 20 000 and Below,3.2222222222222223,High
Female,Second Year,BSTM,Php 20 000 and Below,2.888888888888889,Moderate
Female,Second Year,BSTM,Php 20 000 and Below,3.4444444444444446,High
Female,Second Year,BSTM,Above Php 60 000,2.111111111111111,Low
Female,Second Year,BSTM,Php 20 001 to Php 60 000,2.6666666666666665,Moderate
Female,Second Year,BSTM,Php 20 000 and Below,2.6666666666666665,Moderate
Male,Fourth Year,BSTM,Php 20 001 to Php 60 000,4.222222222222222,Very High
Male,Second Year,BSCM,Php 20 001 to Php 60 000,5.0,Very High
Female,Fourth Year,BSBA,Php 20 001 to Php 60 000,3.4444444444444446,High
Female,Fourth Year,BSCM,Php 20 000 and Below,3.6666666666666665,Very High
Female,Second Year,BSBA,Php 20 000 and Below,3.2222222222222223,High
Female,Fourth Year,BSCM,Php 20 001 to Php 60 000,3.5555555555555554,High
Female,Fourth Year,BSBA,Above Php 60 000,2.0,Low
Female,Fourth Year,BSBA,Php 20 000 and Below,1.7777777777777777,Low
Female,Fourth Year,BSCM,Php 20 001 to Php 60 000,1.3333333333333333,Very Low
Female,Second Year,BSBA,Php 20 001 to Php 60 000,3.888888888888889,Very High
Female,First Year,BSCM,Php 20 000 and Below,3.111111111111111,High
Female,Fourth Year,BSBA,Php 20 000 and Below,3.7777777777777777,Very High
Female,Fourth Year,BSBA,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,Fourth Year,BSCM,Php 20 000 and Below,2.4444444444444446,Low
Male,Second Year,BSHM,Php 20 001 to Php 60 000,1.4444444444444444,Very Low
Male,Third Year,BSHM,Php 20 001 to Php 60 000,2.2222222222222223,Low
Male,Fourth Year,BSHM,Php 20 000 and Below,3.3333333333333335,High
Female,First Year,BSHM,Php 20 000 and Below,2.3333333333333335,Low
Female,Third Year,BSHM,Php 20 000 and Below,1.0,Very Low
Male,Second Year,BSHM,Php 20 000 and Below,3.0,Moderate
Female,Second Year,BSHM,Php 20 000 and Below,1.8888888888888888,Low
Female,Second Year,BSCM,Php 20 001 to Php 60 000,3.5555555555555554,High
Female,First Year,BSHM,Php 20 000 and Below,3.7777777777777777,Very High
Female,Second Year,BSHM,Php 20 001 to Php 60 000,4.0,Very High
Female,Fourth Year,BSCM,Php 20 000 and Below,1.6666666666666667,Low
Female,Fourth Year,BSCM,Php 20 000 and Below,3.4444444444444446,High
Female,Fourth Year,BSBA,Php 20 000 and Below,2.6666666666666665,Moderate
Female,Third Year,BSBA,Php 20 000 and Below,2.111111111111111,Low
Female,First Year,BSTM,Php 20 000 and Below,2.0,Low
Female,First Year,BSBA,Php 20 000 and Below,1.6666666666666667,Low
Female,Fourth Year,BSBA,Php 20 000 and Below,2.7777777777777777,Moderate
Female,Second Year,BSCM,Above Php 60 000,3.888888888888889,Very High
Female,Third Year,BSBA,Php 20 001 to Php 60 000,4.333333333333333,Very High
Female,Third Year,BSBA,Php 20 000 and Below,1.2222222222222223,Very Low
Female,Third Year,BSBA,Php 20 000 and Below,3.3333333333333335,High
Female,First Year,BSCM,Php 20 000 and Below,3.4444444444444446,High
Female,Fourth Year,BSHM,Php 20 001 to Php 60 000,3.6666666666666665,Very High
Male,Fourth Year,BSHM,Php 20 001 to Php 60 000,3.2222222222222223,High
Female,Fourth Year,BSTM,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,Third Year,BSCM,Php 20 000 and Below,3.3333333333333335,High
Female,Third Year,BSBA,Php 20 001 to Php 60 000,2.7777777777777777,Moderate
Female,Third Year,BSBA,Php 20 000 and Below,1.5555555555555556,Very Low
Female,Fourth Year,BSCM,Php 20 001 to Php 60 000,1.4444444444444444,Very Low
Male,Third Year,BSBA,Php 20 000 and Below,3.2222222222222223,High
Female,Fourth Year,BSCM,Php 20 001 to Php 60 000,3.4444444444444446,High
Female,Fourth Year,BSTM,Php 20 000 and Below,2.111111111111111,Low
Female,Third Year,BSBA,Php 20 001 to Php 60 000,1.8888888888888888,Low
Male,Third Year,BSBA,Php 20 001 to Php 60 000,2.6666666666666665,Moderate
Female,Second Year,BSBA,Php 20 001 to Php 60 000,3.6666666666666665,Very High
Female,Third Year,BSBA,Php 20 001 to Php 60 000,4.0,Very High
Female,First Year,BSBA,Php 20 001 to Php 60 000,1.5555555555555556,Very Low
Female,Fourth Year,BSCM,Php 20 000 and Below,3.6666666666666665,Very High
